"Date","Price","Open","High","Low","Vol.","Change %"
"10/06/2023","250.00","250.00","254.00","246.10","1.30M","0.00%"
"10/05/2023","250.00","250.00","255.00","245.00","395.22K","0.00%"
"10/04/2023","250.00","260.00","250.00","250.00","1.27M","-3.85%"
"10/03/2023","260.00","264.00","260.00","260.00","490.73K","-1.52%"
"09/29/2023","264.00","264.50","264.00","260.00","2.95M","-0.19%"
"09/28/2023","264.50","264.50","268.90","260.30","730.16K","0.00%"
"09/26/2023","264.50","264.50","268.00","260.10","261.27K","0.00%"
"09/25/2023","264.50","269.00","264.50","264.50","2.28M","-1.67%"
"09/22/2023","269.00","269.00","270.00","266.30","334.76K","0.00%"
"09/21/2023","269.00","270.10","269.00","269.00","2.69M","-0.41%"
"09/20/2023","270.10","270.10","270.00","265.00","417.40K","0.00%"
"09/19/2023","270.10","270.10","270.00","265.20","234.59K","0.00%"
"09/18/2023","270.10","270.10","272.80","268.10","481.94K","0.00%"
"09/15/2023","270.10","270.00","270.10","270.10","766.39K","0.04%"
"09/14/2023","270.00","270.00","270.00","270.00","2.50M","0.00%"
"09/13/2023","270.00","270.00","270.00","270.00","3.19M","0.00%"
"09/12/2023","270.00","274.20","270.00","270.00","822.51K","-1.53%"
"09/11/2023","274.20","274.20","274.50","268.00","690.16K","0.00%"
"09/08/2023","274.20","274.50","274.40","274.20","969.81K","-0.11%"
"09/07/2023","274.50","274.50","274.50","274.50","684.82K","0.00%"
"09/06/2023","274.50","274.50","274.50","271.60","370.85K","0.00%"
"09/05/2023","274.50","274.40","274.50","274.50","1.44M","0.04%"
"09/04/2023","274.40","274.40","275.00","273.50","1.53M","0.00%"
"09/01/2023","274.40","274.50","274.40","274.40","661.37K","-0.04%"
"08/31/2023","274.50","274.50","274.70","272.00","1.22M","0.00%"
"08/30/2023","274.50","274.50","274.80","272.00","506.11K","0.00%"
"08/29/2023","274.50","274.50","274.80","271.00","712.33K","0.00%"
"08/28/2023","274.50","274.50","274.50","274.50","820.04K","0.00%"
"08/25/2023","274.50","274.50","275.00","270.00","395.60K","0.00%"
"08/24/2023","274.50","275.00","290.00","274.50","21.34M","-0.18%"
"08/23/2023","275.00","275.00","276.00","270.50","2.47M","0.00%"
"08/22/2023","275.00","275.00","276.00","275.00","2.88M","0.00%"
"08/21/2023","275.00","275.00","275.20","275.00","5.25M","0.00%"
"08/18/2023","275.00","274.40","275.00","273.00","1.08M","0.22%"
"08/17/2023","274.40","274.40","299.00","265.10","889.81K","-2.00%"
"08/16/2023","280.00","280.00","280.00","280.00","3.95M","0.00%"
"08/15/2023","280.00","279.90","280.00","280.00","3.48M","0.04%"
"08/14/2023","279.90","279.90","282.00","279.00","628.48K","0.00%"
"08/11/2023","279.90","277.00","279.90","279.90","658.58K","1.05%"
"08/10/2023","277.00","276.00","277.00","277.00","1.87M","0.36%"
"08/09/2023","276.00","280.00","276.00","276.00","1.69M","-1.43%"
"08/08/2023","280.00","280.00","279.00","275.00","1.22M","0.00%"
"08/07/2023","280.00","277.00","280.00","279.00","2.01M","1.08%"
"08/04/2023","277.00","280.00","277.00","272.20","4.96M","-1.07%"
"08/03/2023","280.00","263.00","280.00","272.00","1.13M","6.46%"
"08/02/2023","263.00","263.00","282.00","262.00","416.27K","0.00%"
"08/01/2023","263.00","262.00","263.00","263.00","3.61M","0.38%"
"07/31/2023","262.00","272.00","262.00","262.00","3.79M","-3.68%"
"07/28/2023","272.00","275.10","272.00","272.00","434.40K","-1.13%"
"07/27/2023","275.10","275.10","279.90","274.00","639.58K","0.00%"
"07/26/2023","275.10","284.90","275.10","274.00","1.44M","-3.44%"
"07/25/2023","284.90","270.00","284.90","284.90","2.55M","5.52%"
"07/24/2023","270.00","270.00","273.50","268.00","414.94K","0.00%"
"07/21/2023","270.00","270.00","273.00","268.00","457.16K","0.00%"
"07/20/2023","270.00","270.00","270.00","270.00","1.47M","0.00%"
"07/19/2023","270.00","265.10","270.00","270.00","539.21K","1.85%"
"07/18/2023","265.10","265.10","269.00","258.40","1.58M","0.00%"
"07/17/2023","265.10","265.10","265.10","251.00","1.43M","0.00%"
"07/14/2023","265.10","265.10","270.00","250.90","1.31M","0.00%"
"07/13/2023","265.10","278.00","270.00","265.10","2.01M","-4.64%"
"07/12/2023","278.00","278.00","279.00","260.20","1.62M","0.00%"
"07/11/2023","278.00","280.00","285.00","278.00","1.43M","-0.71%"
"07/10/2023","280.00","275.00","280.00","279.00","11.98M","1.82%"
